Timestamp,What is your profession? ,Please indicate your gender,BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",How many people in Kerala do you financially support with your income?,How important is it for you to send money back to Kerala?, I send money to Kerala:,When the exchange rate is high (1 AED yields more INR):, I send money home:,"BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic (from March 1st to August 31st, 2020)?","BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic(from March 1st to August 31st, 2020)?","CEREALS & PULSES (Cereals and Pulses are items like Rice, Wheat, Bread, Maida, Rava, Dal varieties, et cetera) ","ANIMAL PROTEIN (Animal Protein is items like Chicken, Duck, Mutton, Beef, Fish, Eggs, etc) ","DAIRY PRODUCTS (Dairy Products are items like Milk, Yoghurt, Laban, Cheese, Labneh, Paneer, etc) ",Fruits and Vegetables,"PREPARED MEALS (Prepared Meals are items like Cup noodles, Heat & eat items like packaged curries, Maggi, Frozen chapati/paratha, Khubhus, Readymade idli/ appam batter, Restaurant take away/dine in, etc)  ","SWEETS AND SNACKS (Sweets and Snacks are items like Bakery items, Ice-cream, Chocolates, etc) ","PERSONAL CARE AND EFFECTS (Personal Care and Effects are items like Clothing, Footwear, Ornaments, Soap, Visiting Barber/beautician, etc) ","HOUSING RELATED EXPENDITURES (Housing Related expenditures are expenses like Housing Rent, Electricity Bill, Water Bill, etc)","HEALTHCARE (Healthcare includes expenses like Medicine fees, Doctor’s fees, Purchasing of medical equipment, Homeo medicines, etc)","TRANSPORTATION EXPENSES (Transportation expenses include expenses like Bus fare, Taxi fare, Petrol/Diesel costs, airplane fare, etc)","COMMUNICATION EXPENSES (Communication Expenses include expenses like Phone bills, Postage expenses, Internet expenses, etc)","RECREATION AND AMUSEMENT (Recreation and Amusement includes expenses like Cable connection fees, Newspapers, Playing Cards, carrom boards, etc)","HOUSEHOLD GOODS AND SERVICES (Household Goods and Services include items like Furniture, Bedding, Appliances like TV, Fridge, Washing machine, Stove, et cetera)"
8/3/2021 19:41:51,Airport Staff,Male,"5,001-10,000 AED","2,500-5,000 AED",None,None,11,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,Room rent and other small expenses ,0,40,30,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/3/2021 19:48:36,Ramp Agent,Male,"5,001-10,000 AED","2,500-5,000 AED",Healthcare,"Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Laundry, Food Provided at Work, Transportation for Work purposes",5,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,"50,000 INR",0 INR,75%,50%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),No change,Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Highly increased (by more than 100 AED),Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED)
8/3/2021 19:52:48,Loading Airport,Male,"5,001-10,000 AED","2,500-5,000 AED","Housing, Transportation (Bus pass, fuel, etc), Laundry","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Laundry",Family,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,When requested by family in Kerala,4000,0,75,40,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED)
8/3/2021 19:57:47,Etihad Ground Staff,Male,"0-2,500 AED","0-2,500 AED",Charge from all items from our salary,Lost job April,More than 13,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,500 AED,0,75,0,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED)
8/3/2021 20:00:48,No job,Male,"5,001-10,000 AED","2,500-5,000 AED","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare","Food, Housing, Utilities (any one or more of electricity, water )",10,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,When requested by family in Kerala,"40,000","30, 000",60,60,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,No change,No change,No change
8/3/2021 20:03:54,Public Safety Department ,Male,"5,001-10,000 AED","5,001-10,000 AED","Food, Housing, Healthcare","Food, Housing",4,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,1000,500,2000,2500,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,Highly increased (by more than 50 AED),No change,No change,No change,No change,No change,No change
8/3/2021 20:06:54,Salesman in Lulu,Male,"0-2,500 AED","0-2,500 AED","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry",Only my family,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,300,150,800,1000,Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,No change,Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -500 AED)
8/3/2021 20:09:20,Public Safety Department ,Male,"5,001-10,000 AED","5,001-10,000 AED","Food, Housing, Healthcare","Food, Housing, Healthcare",4,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,1500,1000,30%,30%,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,No change
8/3/2021 20:12:10,Salesman in Lulu,Male,"0-2,500 AED","0-2,500 AED","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry",Only my family,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,200,150,1000,1000,No change,No change,Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,No change,Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),No change
8/3/2021 20:14:41,Sales Manager ,Male,"2,500-5,000 AED","2,500-5,000 AED","Food, Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Food, Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",2,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,Once a month,30,20,50,40,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -500 AED),No change,Slightly Increased (by 1 -50 AED),No change,No change,No change
8/3/2021 20:19:07,Private Company Employee,Male,"2,500-5,000 AED","0-2,500 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Laundry","Housing, Utilities (any one or more of electricity, water ), Healthcare",5,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,"20,000 INR",0,80,0,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,Highly decreased (by more than 100 AED),No change,No change,No change,No change
8/3/2021 20:21:23,Pro,Male,"2,500-5,000 AED","2,500-5,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)",1,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,500,500,80,80,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),No change,No change,No change,No change,No change
8/3/2021 20:23:46,Business ,Male,"Greater than 40,000 AED","25,001-30,000 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Housing, Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",4,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to Kerala,In bulk amounts infrequently,70,70,70,70,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change,No change,Highly decreased (by more than 100 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/3/2021 20:26:07,Salesman ,Male,"0-2,500 AED","0-2,500 AED","Food, Healthcare","Food, Healthcare",7,Important (Family has some income but depends on my remittance to pull through),Both,The amount I send to Kerala does not change,Once a month,200 AED,200 AED,"30,000","30,000",No change,No change,No change,No change,No change,No change,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,No change
8/3/2021 20:30:41,Driver,Male,"2,500-5,000 AED","0-2,500 AED",None,None,5,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,3-5,0,55,0,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,No change,Highly decreased (by more than 50 AED),No change,No change,Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/3/2021 20:32:36,Driver,Male,"2,500-5,000 AED","0-2,500 AED",None,None,5,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,3-5,0,55,0,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,No change,Highly decreased (by more than 50 AED),No change,No change,Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/3/2021 20:35:40,Supervisor ,Male,"5,001-10,000 AED","5,001-10,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)",5,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,5,70,5%,70%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/3/2021 20:37:36,Driver,Male,"5,001-10,000 AED","5,001-10,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)",7,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,10%,70%,10%,70%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/3/2021 20:39:27,Driver,Male,"5,001-10,000 AED","5,001-10,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)",7,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,0,75,0,75,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/3/2021 20:41:36,Driver,Male,"2,500-5,000 AED","2,500-5,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)",5,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,0,70,0,70,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/3/2021 20:44:04,Supervisor ,Male,"5,001-10,000 AED","5,001-10,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)",4,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,10,50,10,50,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,No change
8/3/2021 20:50:19,Driver,Male,"2,500-5,000 AED","2,500-5,000 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc)","Housing, Healthcare, Transportation (Bus pass, fuel, etc)",4,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,5,5,70,70,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,No change
8/3/2021 20:54:39,Driver,Male,"5,001-10,000 AED","5,001-10,000 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc)","Housing, Healthcare, Transportation (Bus pass, fuel, etc)",5,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,0,0,70,70,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED)
8/3/2021 21:43:52,Teacher,Female,"2,500-5,000 AED","2,500-5,000 AED",None,None,3,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,25,0,20,20,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),No change,No change,No change,No change,No change
8/3/2021 21:46:09,HR Administrator,Female,"5,001-10,000 AED","0-2,500 AED","Transportation (Bus pass, fuel, etc)",None,5,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,50,5,30000,20000,No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,Highly increased (by more than 500 AED),No change,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/4/2021 10:45:54,Doctor,Female,"5,001-10,000 AED","2,500-5,000 AED",None,None,4,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,50%,10%,20%,20%,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -500 AED),No change,Highly increased (by more than 50 AED),No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/5/2021 23:25:19,Draftsman,Male,"10,001-15,000 AED","5,001-10,000 AED",Healthcare,Healthcare,5,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,40,25,40,25,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -500 AED),No change,Slightly Increased (by 1 -50 AED),No change,No change,Highly decreased (by more than 500 AED)
8/6/2021 13:00:28,Accountant,Female,"0-2,500 AED","0-2,500 AED",None,None,My family,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to Kerala,Once a month,20,Nothing,10,Nothing,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),No change,No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED)
8/6/2021 13:36:18,Self employed ,Male,"2,500-5,000 AED","0-2,500 AED",None,None,4,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,When requested by family in Kerala,No savings ,No savings,40%,20%,Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/6/2021 13:53:08,Receptionist ,Male,"2,500-5,000 AED","2,500-5,000 AED",Healthcare,Healthcare,6,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,20,0,60,80,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),No change,Highly increased (by more than 100 AED),No change,No change,No change,No change
8/6/2021 13:55:27,Editing,Male,"2,500-5,000 AED","0-2,500 AED",Food,Food,20,Very Unimportant (Family is capable to live without my remittances),Both,I send more money to Kerala,Once a month,Small income ,Small,10,10,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/6/2021 13:57:01,Automobile Engineer,Male,"0-2,500 AED","2,500-5,000 AED",None,None,5,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,30,10,30,10,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -500 AED),Highly increased (by more than 100 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/6/2021 13:58:03,Bus nanny,Female,"2,500-5,000 AED","0-2,500 AED","Food, Housing, Healthcare, Transportation (Bus pass, fuel, etc)",None,6 members,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,When requested by family in Kerala,50 percent ,Nothing,50 %,Nothing,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 500 AED)
8/6/2021 14:08:09,Nurse,Female,"5,001-10,000 AED","5,001-10,000 AED",Healthcare,Healthcare,4,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,10,10,20,15,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/6/2021 14:11:33,Business Travel Sales Manager,Male,"10,001-15,000 AED","5,001-10,000 AED",Healthcare,Healthcare,3,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,When requested by family in Kerala,50,25,5000,2500,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED),Slightly decreased (by 1 -100 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/6/2021 14:29:22,Driver,Male,"2,500-5,000 AED","0-2,500 AED",None,None,2 family,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,Once a month,Nothing,Nothing,2 %,2 %,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change,No change,No change,No change,No change,No change
8/6/2021 14:33:40,Bank employee,Male,"5,001-10,000 AED","5,001-10,000 AED",None,None,5,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,Nothing ,Nothing ,Nil,Nil,Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/6/2021 14:42:36,IT,Female,"15,001-20,000 AED","15,001-20,000 AED","Housing, Healthcare","Housing, Healthcare",0,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to Kerala,In bulk amounts infrequently,30,30,30,30,No change,No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),No change,No change,Highly decreased (by more than 50 AED),No change,Highly decreased (by more than 50 AED),Slightly decreased (by 1 -500 AED)
8/6/2021 14:45:52,office assistant ,Female,"2,500-5,000 AED","0-2,500 AED",None,None,4,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,500,0,80%,70%,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,Slightly decreased (by 1 -100 AED),No change,No change,No change,Highly decreased (by more than 500 AED)
8/6/2021 14:54:55,Lab technician,Male,"5,001-10,000 AED","2,500-5,000 AED","Food, Housing, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",Housing,5,Important (Family has some income but depends on my remittance to pull through),Both,I send less money to Kerala,Once a month,5000,3000,4000,2000,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/6/2021 15:00:36,Sales manager ,Male,"2,500-5,000 AED","0-2,500 AED","Food, Housing","Food, Housing",7,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,Once a month,Good,Bad,Very good ,Bad situation ,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change,Slightly decreased (by 1 -100 AED),No change,No change,No change,No change
8/6/2021 15:05:44,Engineer ,Male,"20,001-25,000 AED","20,001-25,000 AED","Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",No,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send less money to Kerala,Once a month,60%,60%,30%,30%,Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
